"Date/Time (UTC)","RAAN","Inclination","Arg of Perigee","SMA","Eccentricity"
"2023-12-20 16:44:29",124.7821,54.8575,116.6909,20183.107,0.0027306
"2023-12-21 16:38:06",124.7426,54.8581,116.6738,20183.102,0.0027266
"2023-12-22 19:56:30",124.6974,54.8581,116.6821,20183.085,0.0027245
"2023-12-23 19:50:05",124.6577,54.8577,116.65,20183.063,0.0027222
"2023-12-24 17:03:42",124.6222,54.8578,116.5983,20183.046,0.0027202
"2023-12-25 16:57:17",124.5822,54.8579,116.5853,20183.03,0.0027198
"2023-12-26 16:50:54",124.5422,54.8576,116.5868,20183.016,0.0027196
"2023-12-27 16:44:29",124.5021,54.8577,116.6018,20183.003,0.0027184
"2023-12-28 16:38:06",124.4621,54.858,116.626,20182.999,0.0027162
"2023-12-29 19:56:30",124.4166,54.8585,116.6817,20182.992,0.0027135
"2023-12-30 19:50:05",124.3769,54.8593,116.7123,20182.992,0.0027102
"2023-12-31 17:03:42",124.3416,54.8598,116.7223,20182.998,0.0027068
"2024-01-01 16:57:17",124.302,54.8605,116.7565,20182.994,0.0027045
"2024-01-02 16:50:54",124.2625,54.8613,116.7973,20182.995,0.0027031
"2024-01-03 16:44:29",124.2231,54.862,116.8487,20182.996,0.0027022
"2024-01-04 16:38:06",124.1836,54.8624,116.9129,20182.991,0.0027009
"2024-01-05 19:56:30",124.1385,54.8628,117.0247,20182.983,0.0027002
"2024-01-06 19:50:05",124.0989,54.863,117.1063,20182.977,0.0026976
"2024-01-07 17:03:42",124.0638,54.8631,117.156,20182.978,0.0026939
"2024-01-08 16:57:17",124.0239,54.8629,117.2288,20182.968,0.0026894
"2024-01-09 16:50:54",123.9839,54.8627,117.2901,20182.959,0.0026848
"2024-01-11 16:38:06",123.9034,54.8629,117.3792,20182.954,0.0026787
"2024-01-12 19:56:30",123.8575,54.863,117.4407,20182.943,0.0026769
"2024-01-13 19:50:05",123.8174,54.8639,117.4668,20182.944,0.002675
"2024-01-14 17:03:42",123.7818,54.8648,117.46,20182.954,0.002673
"2024-01-15 16:57:17",123.7421,54.866,117.4644,20182.956,0.0026697
"2024-01-16 16:50:54",123.7026,54.8667,117.4525,20182.954,0.0026653
"2024-01-17 16:44:29",123.6631,54.8672,117.4236,20182.947,0.0026605
"2024-01-18 16:38:06",123.6236,54.8676,117.3817,20182.939,0.0026561
"2024-01-19 19:56:30",123.5782,54.8677,117.3716,20182.911,0.0026522
"2024-01-20 19:50:05",123.5384,54.8674,117.3289,20182.89,0.0026504
"2024-01-21 17:03:42",123.5029,54.8671,117.2697,20182.881,0.0026491
"2024-01-22 16:57:17",123.4628,54.867,117.2559,20182.862,0.0026478
"2024-01-23 16:50:54",123.4227,54.867,117.2573,20182.851,0.002646
"2024-01-24 16:44:29",123.3827,54.8671,117.2696,20182.844,0.0026433
"2024-01-25 16:38:06",123.3427,54.8677,117.2878,20182.839,0.00264
"2024-01-26 19:56:30",123.2974,54.8684,117.3285,20182.833,0.0026351
"2024-01-27 19:50:05",123.2578,54.869,117.3492,20182.835,0.0026313
"2024-01-28 17:03:42",123.2224,54.8699,117.3563,20182.831,0.0026293
"2024-01-29 16:57:17",123.1828,54.8704,117.3839,20182.833,0.002627
"2024-01-30 16:50:54",123.1434,54.8713,117.42,20182.83,0.0026255
"2024-01-31 16:44:29",123.1039,54.8718,117.4673,20182.827,0.0026247
"2024-02-01 16:38:06",123.0645,54.8721,117.5254,20182.824,0.0026233
"2024-02-02 19:56:30",123.0195,54.8721,117.612,20182.819,0.0026192
"2024-02-03 19:50:05",122.9797,54.8724,117.6811,20182.811,0.0026162
"2024-02-04 17:03:42",122.9441,54.8721,117.7293,20182.802,0.0026129
"2024-02-05 16:57:17",122.9041,54.8718,117.7793,20182.791,0.0026084
"2024-02-06 16:50:54",122.8639,54.8719,117.8173,20182.784,0.0026042
"2024-02-07 16:44:29",122.8237,54.8718,117.8454,20182.781,0.002601
"2024-02-08 16:38:06",122.7833,54.8722,117.8665,20182.778,0.0025987
"2024-02-09 19:56:30",122.7376,54.8731,117.8874,20182.787,0.0025956
"2024-02-10 19:50:05",122.6975,54.8739,117.8929,20182.793,0.002593
"2024-02-11 17:03:42",122.6622,54.875,117.8904,20182.781,0.0025913
"2024-02-12 16:57:17",122.6226,54.8761,117.8683,20182.779,0.0025869
"2024-02-13 16:50:54",122.583,54.8766,117.8268,20182.774,0.0025825
"2024-02-14 16:44:29",122.5434,54.8771,117.7691,20182.765,0.0025781
"2024-02-15 16:38:06",122.5038,54.8774,117.7023,20182.749,0.0025747
"2024-02-16 19:56:30",122.4585,54.877,117.6415,20182.737,0.0025706
"2024-02-17 19:50:05",122.4185,54.8766,117.5902,20182.714,0.0025692
"2024-02-18 17:03:42",122.3826,54.8768,117.5581,20182.698,0.0025692
"2024-02-19 16:57:17",122.3425,54.8765,117.5392,20182.68,0.0025678
"2024-02-20 16:50:54",122.3024,54.8767,117.5344,20182.672,0.0025649
"2024-02-21 16:44:29",122.2624,54.8773,117.5377,20182.665,0.0025611
"2024-02-22 16:38:06",122.2225,54.8779,117.5437,20182.66,0.0025572
"2024-02-23 19:56:30",122.1771,54.8786,117.5385,20182.671,0.0025521
"2024-02-24 19:50:05",122.1375,54.8797,117.5456,20182.672,0.0025486
"2024-02-25 17:03:42",122.1024,54.8802,117.5754,20182.657,0.0025475
"2024-02-26 16:57:17",122.063,54.8808,117.5959,20182.655,0.002546
"2024-02-27 16:50:54",122.0235,54.8816,117.627,20182.655,0.002545
"2024-02-28 16:44:29",121.9841,54.8821,117.6695,20182.65,0.0025436
"2024-02-29 16:38:06",121.9445,54.8824,117.7195,20182.645,0.0025422
"2024-03-01 19:56:30",121.8994,54.8825,117.7538,20182.645,0.0025375
"2024-03-02 19:50:05",121.8596,54.8823,117.8061,20182.631,0.0025339
"2024-03-03 17:03:42",121.8239,54.8822,117.865,20182.616,0.0025308
"2024-03-04 16:57:17",121.7837,54.8823,117.892,20182.605,0.0025267
"2024-03-05 16:50:54",121.7435,54.8823,117.9064,20182.6,0.0025239
"2024-03-06 16:44:29",121.7032,54.8827,117.9122,20182.601,0.0025215
"2024-03-07 16:38:06",121.663,54.8834,117.911,20182.602,0.00252
"2024-03-08 19:56:30",121.6173,54.8848,117.8755,20182.621,0.0025169
"2024-03-09 19:50:05",121.5774,54.8859,117.8527,20182.623,0.0025142
"2024-03-10 17:03:42",121.5422,54.8866,117.8447,20182.61,0.0025111
"2024-03-11 16:57:17",121.5027,54.8872,117.7916,20182.607,0.0025075
"2024-03-12 16:50:54",121.4631,54.8881,117.7217,20182.592,0.0025035
"2024-03-13 16:44:29",121.4234,54.8881,117.639,20182.579,0.002501
"2024-03-14 16:38:06",121.3836,54.8882,117.5545,20182.562,0.002499
"2024-03-15 19:56:30",121.338,54.888,117.4483,20182.54,0.0024973
"2024-03-16 19:50:05",121.298,54.8878,117.3912,20182.525,0.0024968
"2024-03-17 17:03:42",121.2623,54.8882,117.3715,20182.514,0.0024971
"2024-03-18 16:57:17",121.2222,54.8882,117.3441,20182.502,0.0024957
"2024-03-19 16:50:54",121.1821,54.8888,117.3261,20182.496,0.0024932
"2024-03-20 16:44:29",121.1422,54.8895,117.3126,20182.491,0.0024897
"2024-03-21 16:38:06",121.1025,54.8901,117.3005,20182.487,0.0024867
"2024-03-22 19:56:30",121.0573,54.8913,117.2576,20182.488,0.0024836
"2024-03-23 19:50:05",121.0177,54.8924,117.2508,20182.49,0.0024819
"2024-03-24 17:03:42",120.9825,54.8927,117.2829,20182.487,0.0024819
"2024-03-25 16:57:17",120.9431,54.8936,117.2998,20182.482,0.0024817
"2024-03-26 16:50:54",120.9037,54.894,117.3287,20182.478,0.0024821
"2024-03-27 16:44:29",120.8643,54.8945,117.3675,20182.478,0.0024816
"2024-03-28 16:38:06",120.8247,54.8948,117.4099,20182.471,0.0024802
"2024-03-29 19:56:30",120.7794,54.8947,117.4072,20182.455,0.002477
"2024-03-30 19:50:05",120.7395,54.8947,117.438,20182.441,0.0024742
"2024-03-31 17:03:42",120.704,54.8948,117.4848,20182.441,0.0024719
"2024-04-01 16:57:17",120.6638,54.895,117.4857,20182.433,0.0024696
"2024-04-02 16:50:54",120.6236,54.895,117.4753,20182.428,0.0024687
"2024-04-03 16:44:29",120.5834,54.8959,117.4581,20182.432,0.0024681
"2024-04-04 16:38:06",120.5433,54.8967,117.4344,20182.436,0.0024678
"2024-04-05 19:56:30",120.4982,54.8985,117.3631,20182.441,0.0024672
"2024-04-06 19:50:05",120.4585,54.8994,117.3133,20182.444,0.0024653
"2024-04-07 17:03:42",120.423,54.9,117.2838,20182.443,0.0024622
"2024-04-08 16:57:17",120.3835,54.9008,117.203,20182.431,0.00246
"2024-04-09 16:50:54",120.3439,54.9013,117.11,20182.416,0.0024583
"2024-04-10 16:44:29",120.3041,54.9011,117.013,20182.395,0.0024577
"2024-04-11 16:38:06",120.2642,54.9013,116.9216,20182.377,0.0024581
"2024-04-12 19:56:30",120.2184,54.9012,116.8021,20182.347,0.0024592
"2024-04-13 19:50:05",120.1784,54.9012,116.7447,20182.333,0.0024607
"2024-04-14 17:03:42",120.1428,54.9013,116.7337,20182.332,0.0024604
"2024-04-15 16:57:17",120.1028,54.9019,116.6992,20182.326,0.00246
"2024-04-16 16:50:54",120.0629,54.9026,116.6692,20182.321,0.0024589
"2024-04-17 16:44:29",120.0231,54.9032,116.6416,20182.319,0.0024573
"2024-04-18 16:38:06",119.9834,54.904,116.6168,20182.314,0.0024561
"2024-04-19 19:56:30",119.9385,54.9054,116.5668,20182.311,0.0024568
"2024-04-20 19:50:05",119.8991,54.9062,116.5563,20182.312,0.0024575
"2024-04-21 17:03:42",119.8638,54.9069,116.5874,20182.308,0.0024577
"2024-04-22 16:57:17",119.8245,54.9074,116.6078,20182.305,0.0024595
"2024-04-23 16:50:54",119.7851,54.908,116.6406,20182.3,0.0024603
"2024-04-24 16:44:29",119.7456,54.9084,116.6787,20182.296,0.0024609
"2024-04-25 16:38:06",119.706,54.9085,116.7148,20182.289,0.00246
"2024-04-26 19:56:30",119.6607,54.9083,116.7083,20182.275,0.0024599
"2024-04-27 19:50:05",119.6207,54.9081,116.72,20182.264,0.0024586
"2024-04-28 17:03:42",119.585,54.9082,116.7386,20182.26,0.0024571
"2024-04-29 16:57:17",119.5448,54.9083,116.722,20182.256,0.0024577
"2024-04-30 16:50:54",119.5047,54.9089,116.697,20182.252,0.0024587
"2024-05-01 16:44:29",119.4646,54.9098,116.6654,20182.259,0.0024605
"2024-05-02 16:38:06",119.4249,54.9111,116.6274,20182.263,0.0024617
"2024-05-03 19:56:30",119.3798,54.9123,116.5671,20182.279,0.0024635
"2024-05-04 19:50:05",119.3403,54.9133,116.5008,20182.277,0.0024628
"2024-05-05 17:03:42",119.3051,54.9141,116.424,20182.264,0.0024602
"2024-05-06 16:57:17",119.2655,54.9143,116.3298,20182.246,0.0024599
"2024-05-07 16:50:54",119.2258,54.9146,116.2294,20182.225,0.0024602
"2024-05-08 16:44:29",119.1859,54.9143,116.1316,20182.205,0.0024621
"2024-05-09 16:38:06",119.1458,54.9143,116.0451,20182.189,0.002465
"2024-05-10 19:56:30",119.1003,54.914,115.9649,20182.167,0.0024695
"2024-05-11 19:50:05",119.0602,54.9145,115.9141,20182.159,0.0024715
"2024-05-12 17:03:42",119.0244,54.9149,115.8737,20182.15,0.0024717
