"Date/Time (UTC)","RAAN","Inclination","Arg of Perigee","SMA","Eccentricity"
"2023-12-21 07:36:48",304.3432,54.7544,15.0549,20181.084,0.008993
"2023-12-21 07:36:48",304.3432,54.7544,15.0549,20181.084,0.008993
"2023-12-22 07:32:37",304.3026,54.7535,15.0842,20181.083,0.0089977
"2023-12-23 07:28:26",304.2621,54.7526,15.116,20181.089,0.0090031
"2023-12-24 07:24:15",304.2215,54.7517,15.1472,20181.093,0.0090081
"2023-12-24 07:24:15",304.2215,54.7517,15.1472,20181.093,0.0090081
"2023-12-24 19:22:10",304.2013,54.7512,15.1599,20181.091,0.0090095
"2023-12-25 07:20:04",304.181,54.7508,15.176,20181.093,0.0090128
"2023-12-26 07:15:54",304.1405,54.7499,15.2082,20181.093,0.0090194
"2023-12-27 07:11:44",304.0999,54.7489,15.2408,20181.098,0.0090252
"2023-12-27 07:11:44",304.0999,54.7489,15.2408,20181.098,0.0090252
"2023-12-28 07:07:33",304.0594,54.748,15.2748,20181.1,0.0090306
"2023-12-29 07:03:23",304.0189,54.7471,15.3085,20181.104,0.0090365
"2023-12-30 06:59:13",303.9784,54.7462,15.3396,20181.109,0.0090437
"2023-12-30 06:59:13",303.9784,54.7463,15.3416,20181.108,0.0090421
"2023-12-30 06:59:13",303.9784,54.7463,15.3416,20181.108,0.0090421
"2023-12-31 06:55:02",303.9378,54.7453,15.3637,20181.114,0.0090483
"2024-01-01 06:50:52",303.8974,54.7444,15.3974,20181.117,0.0090541
"2024-01-01 06:50:52",303.8973,54.7444,15.3983,20181.119,0.0090532
"2024-01-02 06:46:41",303.8568,54.7435,15.4239,20181.123,0.0090575
"2024-01-02 06:46:41",303.8568,54.7435,15.4239,20181.123,0.0090575
"2024-01-02 18:44:36",303.8366,54.7431,15.449,20181.126,0.0090615
"2024-01-03 06:42:31",303.8163,54.7426,15.4628,20181.126,0.0090652
"2024-01-03 06:42:31",303.8163,54.7426,15.4635,20181.128,0.0090647
"2024-01-04 18:36:15",303.7555,54.7412,15.5107,20181.141,0.009073
"2024-01-04 18:36:15",303.7555,54.7412,15.5107,20181.141,0.009073
"2024-01-05 06:34:09",303.7352,54.7408,15.5236,20181.145,0.0090771
"2024-01-05 06:34:09",303.7352,54.7408,15.5263,20181.148,0.0090775
"2024-01-06 06:29:59",303.6946,54.7399,15.5614,20181.148,0.0090824
"2024-01-06 18:27:53",303.6743,54.7394,15.5764,20181.15,0.0090839
"2024-01-07 06:25:48",303.654,54.7389,15.5951,20181.159,0.0090884
"2024-01-07 06:25:48",303.654,54.7389,15.5951,20181.159,0.0090884
"2024-01-08 06:21:38",303.6135,54.738,15.6233,20181.163,0.0090922
"2024-01-09 06:17:28",303.5729,54.7371,15.6578,20181.171,0.0090977
"2024-01-09 18:15:23",303.5527,54.7366,15.6744,20181.173,0.0091001
"2024-01-09 18:15:23",303.5526,54.7367,15.6774,20181.172,0.0090992
