time,satellite,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,mod_x_km,mod_y_km,mod_z_km,real_radius_km,modified_radius_km,position_error_km,radius_error_km,inertia_factor
2022-07-04 00:05:00,R01,-12295.024217,-12976.389079,18192.465942,2.2967700300000007,0.8428345300000001,2.2460284166666677,-12295.024217,-12976.389079,18192.465942,25505.295745727726,25505.295745727726,0.0,0.0,0.999
2022-07-04 00:10:00,R01,-11574.42966,-12732.538322,18826.944521,2.401981856666668,0.8128358566666672,2.1149285966666747,-11573.708344127126,-12732.294227148148,18827.579634692695,25505.66200027551,25505.68164198485,0.9915887695041956,0.019641709339339286,0.999
2022-07-04 00:15:00,R01,-10823.918337,-12499.444492,19420.723967,2.501704410000002,0.7769794333333326,1.9792648200000016,-10822.44575854154,-12498.967069990991,19421.953454512513,25506.035367674103,25506.112718376815,1.976881036993855,0.07735070271155564,0.999
2022-07-04 00:20:00,R01,-10045.26205,-12278.771953,19972.523256,2.595520956666666,0.7355751300000035,1.839330963333329,-10043.010035818817,-12278.073637558558,19974.30509515315,25506.415183996563,25506.58751897496,2.955361753779276,0.1723349783969752,0.999
2022-07-04 00:25:00,R01,-9240.350395,-12072.083992,20481.152254,2.6830388499999995,0.6889598699999988,1.6954299933333339,-9237.292663446446,-12071.178781702703,20483.44323128929,25506.800759479982,25507.10449148319,3.926538536162374,0.3037320032090065,0.999
2022-07-04 00:30:00,R01,-8411.182957,-11880.835203,20945.514276,2.763891459999995,0.637495963333331,1.5478734066666706,-8407.295228011011,-11879.738552473475,20948.27008013814,25507.19138092415,25507.66199549602,4.889942281555001,0.4706145718701009,0.999
2022-07-04 00:35:00,R01,-7559.861041,-11706.364409,21364.608415,2.8377397200000027,0.5815693133333358,1.3969804633333236,-7555.12113792092,-11705.093113034034,21367.78373279079,25507.586309994527,25508.258306767537,5.845127689338907,0.6719967730095959,0.999
2022-07-04 00:40:00,R01,-6688.578895,-11549.88815,21737.531688,2.9042738200000016,0.521587529999997,1.2430775766666677,-6682.966837620619,-11548.460221142142,21741.080302360362,25507.984785140397,25508.89162519064,6.791673779793766,0.9068400502437726,0.999
2022-07-04 00:45:00,R01,-5799.614556,-11412.494772,22063.48095,2.9632144633333306,0.45797792666666887,1.0864975400000063,-5793.112644427427,-11410.929312233233,22067.3558398979,25508.386024013893,25509.56008331944,7.729184310118038,1.1740593055474164,0.999
2022-07-04 00:50:00,R01,-4895.320264,-11295.139143,22341.754606,3.014314306666668,0.39118542999999895,0.9275788533333252,-4887.913152935935,-11293.456210131131,22345.908048106106,25508.78922296356,25510.261751993192,8.657288183103717,1.4725290296300955,0.999
2022-07-04 00:55:00,R01,-3978.11257,-11198.638019,22571.754093,3.0573589800000005,0.32167041333333446,0.7666649566666699,-3969.7873331161145,-11196.858488409409,22576.137764822823,25509.193557128507,25510.994646541993,9.575639766922444,1.8010894134858972,0.999
2022-07-04 01:00:00,R01,-3050.462149,-11123.666083,22752.985145,3.0921680699999996,0.24990645333333306,0.6041035066666639,-3041.2083331161148,-11121.811505426425,22757.550229287288,25509.598182981183,25511.756735399158,10.483919159327145,2.158552417975443,0.999
2022-07-04 01:05:00,R01,-2114.883342,-11070.752678,22885.058839,3.1185960233333327,0.17637801666666444,0.44024564666667476,-2104.6930107937924,-11068.845134055055,22889.75612918719,25510.002243673076,25512.545951453787,11.38183241384136,2.5437077807109745,0.999
2022-07-04 01:10:00,R01,-1173.923537,-11040.279236,22967.692399,3.136532683333334,0.10157814000000144,0.27544519999999467,-1162.7913040870853,-11038.341188109109,22972.472405463464,25510.40486183349,25513.360190726486,12.26911166488971,2.9553288929964765,0.999
2022-07-04 01:15:00,R01,-230.152358,-11032.47744,23000.70979,3.1459039299999993,0.0260059866666658,0.11005797000000409,-218.07540919219048,-11030.531582503503,23005.522846904907,25510.805150284923,25514.197328863105,13.145515230411954,3.392178578182211,0.999
2022-07-04 01:20:00,R01,713.849203,-11047.428098,22984.042073,3.14667187,-0.049835526666665825,-0.05555905666666756,726.8710983153171,-11045.497206127127,22988.838445503505,25511.202211548905,25515.055226230423,14.010827606539754,3.8530146815173794,0.999
2022-07-04 01:25:00,R01,1655.499744,-11085.060756,22917.727527,3.1388351366666667,-0.1254421933333348,-0.22104848666667143,1669.4642324494514,-11083.167534455457,22922.457518576575,25511.595135710526,25515.931731198514,14.864859427053753,4.336595487988234,0.999
2022-07-04 01:30:00,R01,2592.22837,-11145.154044,22801.911554,3.122428753333333,-0.2003109600000001,-0.38605324333333557,2607.1305247417436,-11143.320975896899,22806.52561367167,25511.98301001239,25516.824694933457,15.707447318747828,4.841684921066189,0.999
